comparison,metric,n_pairs_edit,n_nonzero_edit,median_delta_edit,mean_delta_edit,p_edit,r_rb_edit,p_holm,reject_holm_0.05,holm_rank,n_graphs,median_delta_graph,mean_delta_graph,p_graph,statistic_graph
RPI − full,time_ms,2025,2025,42.61959998984821,93.52956400037294,0.0,-0.9997016562465724,0.0,True,1,45,75.52444000029936,93.52956400037294,5.684341886080802e-14,0.0
RPI − full,vertices,2025,274,0.0,-1.7441975308641975,1.5025404065698824e-05,-0.30157929661579297,3.005080813139765e-05,True,5,45,-1.0,-1.7441975308641973,2.759043127298355e-08,39.0
RPI − fixed r=2,time_ms,2025,2025,29.94609999586828,44.24881565449242,1.4408359827871996e-299,-0.9491440897956199,5.763343931148798e-299,True,3,45,38.82471999968402,44.24881565449242,5.684341886080802e-14,0.0
RPI − fixed r=2,vertices,2025,668,0.0,-16.394567901234566,3.128528637421502e-74,-0.8140087537928626,9.385585912264507e-74,True,4,45,-12.666666666666666,-16.394567901234566,5.684341886080802e-14,0.0
RPI − majority,time_ms,2025,2025,42.297799984226,88.11376607414898,0.0,-0.9931731929362729,0.0,True,2,45,71.51278000092134,88.11376607414898,5.684341886080802e-14,0.0
RPI − majority,vertices,2025,15,0.0,0.10864197530864197,0.05535888671875,-0.5666666666666667,0.05535888671875,False,6,45,0.0,0.10864197530864195,0.5,0.0
